1-0174,3,S
1-0175,3,S
2-0022,3,S
2-0023,3,S
2-0024,3,S
2-0025,3,S
2-0026,3,S
2-0027,3,S
2-0028,3,S
2-0029,3,S
2-0030,3,S
2-0031,3,S
2-0032,3,S
2-0033,3,S
2-0034,3,S
2-0035,3,S
2-0037,3,R
2-0038,3,R
2-0039,3,R
2-0040,3,R
2-0041,3,R
2-0042,3,R
2-0043,3,R
2-0044,3,R
2-0045,3,R
2-0046,3,R
2-0047,3,R
2-0048,3,R
2-0049,3,S
2-0050,3,S
2-0051,3,S
2-0052,3,S
2-0053,3,S
2-0057,3,S
2-0058,3,R
2-0059,3,R
2-0061,3,R
2-0062,3,R
2-0063,3,R
2-0065,3,R
2-0066,3,R
2-0067,3,R
2-0068,3,R
2-0069,3,S
2-0071,3,S
2-0072,3,S
2-0073,3,S
2-0074,3,S
2-0075,3,S
2-0076,3,R
2-0077,3,R
2-0079,3,R
2-0080,3,R
2-0081,3,R
2-0082,3,R
2-0083,3,R
2-0084,3,R
2-0086,3,R
2-0089,3,R
2-0091,3,R
2-0092,3,R
2-0093,3,R
2-0096,3,S
2-0099,3,S
2-0100,3,S
2-0101,3,S
2-0102,3,S
2-0103,3,S
2-0104,3,R
2-0105,3,R
2-0106,3,R
2-0107,3,R
2-0108,3,R
2-0109,3,R
2-0111,3,R
2-0112,3,R
3-0081,3,R
3-0082,3,R
3-0083,3,R
3-0084,3,S
3-0085,3,S
3-0086,3,S
3-0087,3,S
3-0088,3,S
3-0089,3,S
3-0090,3,R
3-0091,3,R
3-0092,3,R
3-0093,3,R
3-0094,3,R
3-0095,3,R
3-0096,3,R
3-0097,3,S
3-0098,3,S
4-0074,3,S
4-0075,3,S
4-0077,3,S
4-0078,3,S
4-0079,3,R
4-0080,3,R
4-0081,3,R
4-0082,3,R
4-0083,3,R
4-0084,3,R
4-0085,3,R
4-0086,3,R
4-0087,3,R
4-0088,3,R
4-0089,3,R
4-0090,3,S
4-0091,3,S
4-0092,3,S
4-0093,3,S
4-0094,3,S
4-0095,3,S
4-0096,3,R
4-0097,3,R
4-0098,3,R
4-0099,3,R
4-0100,3,R
4-0101,3,R
4-0102,3,R
4-0103,3,S
4-0104,3,S
4-0105,3,R
4-0106,3,S
